Key,Name,Organization ID,Tags,Ideas
google/gsoc2013/pagmo,PaGMO / PyGMO,pagmo,"C++, Python, boost::python, optimization, genetic algorithms, evolutionary computation, swarm intelligence, machine learning, parallel computing, complex networks, multi-objective optimization, meta-heuristics, optimization, cloud computing, global optimization, island model, genetics, memetics, artificial intelligence",https://sourceforge.net/apps/mediawiki/pagmo/index.php?title=GSoC_2013
google/gsoc2013/parrot,Parrot Foundation,parrot,Parrot Virtual Machine Rakudo Perl Dynamic PIR PASM NQP,https://github.com/parrot/parrot/wiki/Summer-of-Code-Task-Ideas
google/gsoc2013/phpbb,phpBB Forum Software,phpbb,"forum, bulletin, board, php, webdesign",https://wiki.phpbb.com/GSoC/2013/Ideas
google/gsoc2013/phpmyadmin,phpMyAdmin,phpmyadmin,"web-interface, php, mysql, admin, database, dba",http://wiki.phpmyadmin.net/pma/GSoC_2013_Ideas_List
google/gsoc2013/pidgin,"Pidgin, Finch, and libpurple",pidgin,"pidgin, finch, libpurple, instant messaging, im, networking, gtk, glib, c",https://developer.pidgin.im/wiki/FutureSOCProjects
google/gsoc2013/pitivi,PiTiVi video editor,pitivi,"GStreamer, Python, video editing, NLE, non-linear, GNonLin, GES, GNOME, Linux, GTK+, Clutter, GooCanvas2, Cairo, effects, transitions, titles, multitrack, timeline, multimedia, assets, filmmaking, movies",http://wiki.pitivi.org/wiki/Google_Summer_of_Code
google/gsoc2013/plan9,Plan 9 from Bell Labs,plan9,"9p, os, operating system, C, limbo, styx, distributed computing, network computing, ",http://www.plan9.bell-labs.com/wiki/plan9/gsoc-2013-ideas/index.html
google/gsoc2013/plasma_umass,PLASMA @ UMass,plasma_umass,"Scala, Java, Mechanical Turk, C#, spreadsheet, JavaScript, CoffeeScript, JVM, interpreter, compiler, networking, crowdsourcing, data debugging Excel",https://github.com/plasma-umass/GSoC-2013/wiki/Ideas-List
google/gsoc2013/plone,Plone Foundation,plone,"CMS, content management system, python",https://plone.org/events/summer-of-code/2013/ideas-list
google/gsoc2013/portland_state,Portland State University,portland_state,"academia, individual projects, new projects, portland oregon usa",http://summer.cs.pdx.edu/ideas
google/gsoc2013/postgresql,PostgreSQL Project,postgresql,"database, postgres, postgresql, C, C++, PHP, Perl, Python, Java, SQL",http://www.postgresql.org/developer/summerofcode
google/gsoc2013/prismmodelchecker,PRISM Model Checker,prismmodelchecker,"model checking, probabilistic models, java",http://www.prismmodelchecker.org/gsoc/
google/gsoc2013/processing,Processing,processing,"arts, design, animation, java, android, javascript",https://github.com/processing/processing/wiki/Project-List
google/gsoc2013/public_lab,Public Laboratory for Open Technology and Science,public_lab,"geo, gis, open-source, environment, infrared, spectroscopy, map, maps, ruby-on-rails, java, canvass-element, android, ruby, javascript, imagemagick, rmagick",http://publiclab.org/wiki/gsoc-ideas
